Date,Return
2014-10-06,0.011142340559857189
2014-10-13,-0.030378287589249764
2014-10-20,0.07730114830144652
2014-10-27,0.026420822786344722
2014-11-03,0.00935187037037033
2014-11-10,0.047426822357089726
2014-11-17,0.020056060606060466
2014-11-24,0.021121310027292006
2014-12-01,-0.033044648112335095
2014-12-08,-0.0458260608695652
2014-12-15,0.018682183030652055
2014-12-22,0.01977096993890637
2014-12-29,-0.04088074464217473
2015-01-05,0.02451294201933707
2015-01-12,-0.05374523607275716
2015-01-19,0.06594966630719257
2015-01-26,0.03699770657644619
2015-02-02,0.015107510580146588
2015-02-09,0.06852772218952308
2015-02-16,0.01904310640473561
2015-02-23,-0.008030833976834018
2015-03-02,-0.014479284591662811
2015-03-09,-0.023775687579394744
2015-03-16,0.018690881744182652
2015-03-23,-0.02104846670296323
2015-03-30,0.016795131845841693
2015-04-06,0.014203622725821985
2015-04-13,-0.01848936299747228
2015-04-20,0.044328649298597256
2015-04-27,-0.010208796516800733
2015-05-04,-0.010314028933246067
2015-05-11,0.009011134406571086
2015-05-18,0.02927691918065034
2015-05-25,-0.01705141179538172
2015-06-01,-0.012511552137792203
2015-06-08,-0.011504050283904332
2015-06-15,-0.004482189266056369
2015-06-22,0.0011848499397291157
2015-06-29,-0.0024457435897435875
2015-07-06,-0.024992114441757196
2015-07-13,0.05142761235745952
2015-07-20,-0.03950004009798014
2015-07-27,-0.025702787148594308
2015-08-03,-0.04765050170691254
2015-08-10,0.003808881677862086
2015-08-17,-0.08796134087583074
2015-08-24,0.07119893019669199
2015-08-31,-0.03548419070099573
2015-09-07,0.04520913458064779
2015-09-14,-0.006654426115527801
2015-09-21,0.011106232113871295
2015-09-28,-0.03774738067951677
2015-10-05,0.015763780098671187
2015-10-12,-0.009632554148254813
2015-10-19,0.07240634841132598
2015-10-26,0.003527023790275141
2015-11-02,0.013054376569037629
2015-11-09,-0.0720304158604066
2015-11-16,0.06195484464856138
2015-11-23,-0.012489563809985893
2015-11-30,0.010355666078527559
2015-12-07,-0.04914726580817663
2015-12-14,-0.06317371443717978
2015-12-21,0.0188625862384475
2015-12-28,-0.02564099810831255
2016-01-04,-0.07885239257358179
2016-01-11,0.0017532797210528805
2016-01-18,0.044167622078687074
2016-01-25,-0.04022877223878474
2016-02-01,-0.03410724405618426
2016-02-08,-0.00031907042073187064
2016-02-15,0.021810863321861218
2016-02-22,0.009058756673690604
2016-02-29,0.0629449772801578
2016-03-07,-0.007280846378393435
2016-03-14,0.03579108085681448
2016-03-21,-0.0023602719478903467
2016-03-28,0.04088199187814867
2016-04-04,-0.012091954033856767
2016-04-11,0.010951536500955816
2016-04-18,-0.03796083819682905
2016-04-25,-0.11298260787282366
2016-05-02,-0.010881128885878666
2016-05-09,-0.023727394049531947
2016-05-16,0.05192227304205499
2016-05-23,0.05387520422311276
2016-05-30,-0.02421524711938705
2016-06-06,0.009293341693082713
2016-06-13,-0.035414347153407966
2016-06-20,-0.020245462703336492
2016-06-27,0.026659496217141365
2016-07-04,0.0082386172514195
2016-07-11,0.021721131568059437
2016-07-18,-0.0012147702086937606
2016-07-25,0.0562537479726839
2016-08-01,0.03137898504346026
2016-08-08,0.006512811504108429
2016-08-15,0.010907755592530766
2016-08-22,-0.022128739739129988
2016-08-29,0.007387329205398752
2016-09-05,-0.042699395450680466
2016-09-12,0.11432174287758401
2016-09-19,-0.019230760863744645
2016-09-26,0.0030166267679587744
2016-10-03,0.00893405549047177
2016-10-10,0.03129930793090141
2016-10-17,-0.008756261381185015
2016-10-24,-0.024699803168092727
2016-10-31,-0.04291246005177218
2016-11-07,-0.0037669608146622124
2016-11-14,0.01503272157152069
2016-11-21,0.015718726435012487
2016-11-28,-0.016906690966037363
2016-12-05,0.036851637181953834
2016-12-12,0.017727108847576334
2016-12-19,0.004742571313765875
2016-12-26,-0.0060075267595485204
2017-01-02,0.018045277154204786
2017-01-09,0.009583554928893179
2017-01-16,0.008064507660748399
2017-01-23,0.016249975000000028
2017-01-30,0.058466627104550195
2017-02-06,0.023551231429326913
2017-02-13,0.027248002847714448
2017-02-20,0.006926046220703919
2017-02-27,0.02283034471446399
2017-03-06,-0.004578623584050923
2017-03-13,0.006108998175283986
2017-03-20,0.004643145773157054
2017-03-27,0.021473300778393822
2017-04-03,-0.0022275371786845133
2017-04-10,-0.015975952727109166
2017-04-17,0.008649422006747454
2017-04-24,0.009699795889511531
2017-05-01,0.03696493715133742
2017-05-08,0.0479323218613974
2017-05-15,-0.01947474620852996
2017-05-22,0.0035933817273408053
2017-05-29,0.01197836070582392
2017-06-05,-0.04162110726833912
2017-06-12,-0.045039550142020435
2017-06-19,0.028185807881189184
2017-06-26,-0.015449788183277247
2017-07-03,0.0011108804024195784
2017-07-10,0.03370786680507054
2017-07-17,0.008252892228732156
2017-07-24,-0.0051241364178042925
2017-07-31,0.046086949832775836
2017-08-07,0.006969735961185108
2017-08-14,0.0001270256572778461
2017-08-21,0.014984133333333371
2017-08-28,0.026210446476852
2017-09-04,-0.033038694915476396
2017-09-11,0.007879972014121828
2017-09-18,-0.04997501720118169
2017-09-25,0.014681651291603481
2017-10-02,0.007656423814444091
2017-10-09,0.010882176222494877
2017-10-16,-0.004713707729355088
2017-10-23,0.04352001920000004
2017-10-30,0.05795766222708987
2017-11-06,0.012579698550724494
2017-11-13,-0.025877391949131412
2017-11-20,0.028327988069162036
2017-11-27,-0.022403829099823747
2017-12-04,-0.009821736162144434
2017-12-11,0.02715950956956692
2017-12-18,0.005978007668115293
2017-12-25,-0.03302667941908122
